PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
666-6;624;"HOSE,NONMETALLIC, SIZE 6, DIAMETER: INSIDE (5/16"") 0.313 IN, OUTSIDE 0.466 IN, ROUND";EA;53,43
AE102-12;D2497;INSULATION SLEEVING,THERMAL;EA;81,73
AE102-18;624;INSULATION SLEEVING,THERMAL;EA;74,31
2526226;6848;PLATE,IDENTIFICATION;EA;39,33
2525107-65;6848;JET,METERING FUEL;EA;488,05
16390;55635;INSULATOR,FEEDTHRU;EA;1757,34
AE775S8-4S;59976;CONNECTOR,PLUG,ELECTRICAL;EA;471,38
2520501;40920;BEARING,BALL,ANNULAR;EA;79,08
2521021;6848;SHAFT,ECCENTRIC;EA;2245,88
2521666;6848;ADJUSTING SCREW;EA;70,83
2521724-1;6848;SPRING,HELICAL,EXTENSION;EA;2408,55
2521724-2;6848;SPRING;EA;317,44
2521724-3;6848;SPRING,HELICAL,COMPRESSION;EA;350,37
2521745;6848;PIN,GROOVED,HEADED;EA;127,06
2523190;6848;PIN,GROOVED,HEADLESS;EA;109,68
2523240;6848;BEARING,BALL,ANNULAR;EA;95,7
2523974;6848;CAP,BEARING,FUEL CO;EA;3353,86
2523975;6848;BUSHING ASSEMBLY,DR;EA;235,32
2525104;6848;GASKET;EA;13,35
3244112;6848;BELLOWS, ASSY, DAMPED;EA;16938,11
2529625;6848;ADAPTER,FUEL CONTRO;EA;1106
440-4;624;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;233,75
14-01357-00;0AHP5;SWITCH,SENSITIVE;EA;389,54
202A121-3-00-0;6090;INSULATION SLEEVING,ELECTRICAL,SPECIAL PURPOSE;EA;58,89
206637;66503;GASKET;EA;25,88
213181;66503;PLUG,MACHINE THREAD,MAGNETIC;EA;4264,18
214318;66503;PIN,STRAIGHT,HEADLESS;EA;667,85
23032-1143;28548;WASHER,SHOULDERED AND RECESSED;EA;13,27
F66018-4;624;FITTING HOSE;EA;379,12
56915;93835;SHAFT,SHOULDERED;EA;4480,47
358-354AC14;60038;BEARING,ROLLER,TAPERED;EA;379,04
4005095-0501;27914;WAVEGUIDE ASSEMBLY;EA;22110,56
5458-007;45934;CONNECTOR,RECEPTACLE,ELECTRICAL;EA;201,36
AN960-1616;21439;WASHER/BAR;EA;1,21
LM29711;60038;CUP,TAPERED ROLLER;EA;132,82
AE102-10;624;INSULATION SLEEVING,THERMAL, DIAMETER INSIDE 0.620 IN, THICK 0.125 IN, GLASS FIBER;EA;30,74
AEI102-10;624;INSULATION SLEEVING,THERMAL, DIAMETER INSIDE 0.620 IN, THICK 0.125 IN, GLASS FIBER;EA;47,77
GH5;72794;EYELET,TURNLOCK FASTENER;EA;70,28
DPP3;38443;BEARING,BALL,AIRFRAME, LUBRICATION MATERIAL MIL-G-81322 MIL SPEC;EA;856,07
343451;6848;DIAPHRAGM,ACTUATORVALVE,SPECIAL SHAPED;EA;2398,2
32447;779;TERMINAL,QUICK DISCONNECT, COLOR BLUE, INTERLOCKING KNIFE, 14 AWG,LENGTH 0.878 IN, THICK 0.030 IN;EA;7,58
32448;779;TERMINAL,QUICK DISCONNECT, COLOR BLUE, INTERLOCKING KNIFE, 14 AWG,LENGTH 0.859 IN, THICK 0.032 IN;EA;2,2
3320-019;66503;PIN;EA;111,03
336132;6848;PIN,TAPERED,PLAIN;EA;352,22
3243621;6848;BEARING, BALL, ANNULAR;EA;2462,42
2521724-4;6848;SPRING, HELICAL, COMPRESSION;EA;1661,06
AE701-4;624;HOSE,NONMETALLIC;EA;28,27
457-370-12;99321;CAP,FILLER OPENING;EA;2087,92
178054-11;81996;BRAKET LOWER;EA;9362,79
2522105;6848;SPACER,SLEEVE;EA;217,16
NOVEC CONTACT CLEANER;76381;CLEANING COMPOUND,SOLVENT,;EA;729,57
306-4;624;HOSE,NONMETALLIC, ROUND, INSIDE DIA 0.250 IN, RUBBER SYNTHETIC, FUEL/OIL, HYDROCARBON, 4 SIZE;EA;19,12
201359-1;779;CONNECTOR BODY;EA;39,96
CIX312K6-6W;04UP0;PTT CABLE INT;EA;2276,35
2523651;6848;PIN,GROOVED,HEADED;EA;386,95
AE18884E;624;ELBOW,TUBE;EA;595,69
AE18926E;624;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;586,22
AE208-4;624;PROTECTOR,ELECTRICAL CABLE;EA;18,87
AE2463545E0202;624;HOSE ASSEMBLY,NONMETALLIC;EA;988,49
RS100L;80756;RING,RETAINING;EA;2,24
MS20470AD5-7;80049;REBITE;EA;17,61
1355-013;66503;PACKING;EA;627,78
379S16;6848;PACKING;EA;80,78
56714;93835;PLUG;EA;755,12
69738-200;624;COUPLING,CLAMP,GROOVED;EA;1460,64
63401;93835;SCREW;EA;1214,28
66421;93835;SHAFT;EA;6488,81
67649;93835;SHIM;EA;1479,9
700166-1;19565;CONNECTOR,PLUG,ELECTRICAL;EA;767,47
953504-157;6848;SCREW,CAP,SOCKET HEAD;EA;68,38
25212;93835;SPOOL AND SLEEVE;EA;1929,11
430-00013-01;0TRC3;KNOB ASSY, OUTER,GNC400/500;EA;34,35
191801;6848;WASHER,FLAT;EA;7,59
192993;66503;SPRING,HELICAL,COMPRESSION;EA;236,9
100185-45;79318;WASHER;EA;121,61
1680-628;66503;PICKUP,GOVERNOR,PROPELLER;EA;9107,1
12050-0013;27914;TRANSISTORS;EA;267,14
13028;45402;ADAPTER,STRAIGHT,TUBE TO BOSS;EA;576,11
1310-115;66503;VALVE,SOLENOID;EA;48404,16
1412-654;66503;BEARING;EA;1109,48
210071;66503;BODY,RELIEF VALVE;EA;2265,43
182650;66503;PACKING,PREFORMED;EA;26,66
182757;66503;PACKING;EA;142,14
56716;93835;NUT,PLAIN,HEXAGON;EA;387,36
305;8805;LAMP,INCANDESCENT;EA;3,47
GA5-312;72794;EYELET,TURNLOCK FASTENER;EA;271,08
30-0218-1;19565;LIGHT,NAVIGATIONAL,AIRCRAFT, LEFT HAND WING, COLOR RED, GLASS LENS, 26,5 VOLTS DC;EA;9107,1
JLM506810;60038;CUP,TAPERED ROLLERBEARING;EA;102,02
1355-901;66503;GAXETA;EA;147,59
MS24693C48;D9182;BOLT, 8-32 UNC;EA;7,59
14090;55635;INSULATOR BOWL;EA;2240,59
180228;60380;BEARING,ROLLER,NEEDLE;EA;118,45
MS3338-6839;D9182;LAMPADA INCAND;EA;194,57
8846-12D;624;ELBOW,TUBE TO HOSE;EA;793,87
M27500-20TE1T14;1P787;CABLE,SPECIAL PURPOSE,ELECTRICAL, ROUND, WHITE, SIZE 20 AWG, TEMP RATING 150.0 DEG CELSIUS;EA;1,82
NAS1189-06P14L;17446;SCREW,CAP,SOCKET HEAD;EA;15,71
3240770;6848;PLUG,ANTI-TAMPER;EA;90,54
2521667;6848;SHAFT,STRAIGHT;EA;1726,76
2523192;6848;SEAT,HELICAL COMPRESSION SPRING;EA;817,93
HL77-5;73197;COLLAR,PIN-RIV;EA;3,73
HW14-3;15653;NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON;EA;21,79
289A6512N03C590;5606;RESISTOR,ELECTRICAL;EA;42,64
C6334-36;78710;UNIT ASSY,TELESCOPI;EA;2299,5
2523973;6848;BEARING,BALL,ANNULAR;EA;148,14
HL22-5-3;56878;PIN-RIVET;EA;8,58
KWDB24CR;50294;BEARING,PLAIN,SELF-ALIGNING;EA;9568,4
50ARM300-250;55635;WIRE RELEASE TOOL;EA;223,26
58712;93835;LINER,BEARING;EA;1519,44
58748;93835;SPACER,RING;EA;150,24
366783;6848;WASHER;EA;4,78
51134-150S;624;GASKET;EA;96,1
3532-028;66503;PLUNGER PILOT;EA;3334,82
922345;90166;RESTRICTOR,FLUID FLOW;EA;14886,19
56590;93835;WASHER,RECESSED;EA;88,84
56596;93835;ROLLER,BEARING;EA;103,98
56717;93835;SPRING,HELICAL,COMPRESSION;EA;355,43
56855;93835;SPRING,HELICAL,COMPRESSION;EA;113,08
56909;93835;PISTON,PUMP;EA;1647,01
56914;70854;BEARING,BALL,ANNULAR;EA;1013,39
56932;93835;RETAINER,PLATE,RETA;EA;2443,03
MS20470AD5-5;53551;RIVET,SOLID;EA;67,9
MS20470AD5-6;53551;RIVET, SOLID;EA;69,25
MS21902D8;624;NIPPLE,TUBE;EA;34,46
56933;93835;SPACER,SLEEVE;EA;455,51
2523611;6848;VALVE ASSEMBLY, FUEL;EA;5409,19
A4-25;72794;STUD,TURNLOCK FASTENER;EA;51,68
CR179-4-6;11815;RIVET;EA;22,03
HL2277-5-3;56878;PIN-RIVET;EA;63,17
BAS107-1-1.00IN-120IN-0;0J2J9;HOSE-FLEXIBILE, AIR COND SYS PAX CABIN, NYLON, POLIURETHANE -LENGTH 120 INCHES;EA;689,48
BAS107-1-1.50IN-120IN-0;0J2J9;HOSE-FLEXIBILE, AIR COND SYS PAX CABIN, NYLON, POLIURETHANE -LENGTH 120 INCHES;EA;693,96
208455;66503;CAP,PROTECTIVE,DUST AND MOISTURE;EA;166,96
MS35489-14;D9182;GROMMET,NONMETALLIC;EA;56,02
MS24587-16;624;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;398,98
601/AE701-12;624;HOSE,NONMETALLIC;EA;172,37
816-4;624;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;276,94
CR2249-4-5;11815;REBITE, CEGO;EA;3,19
6302 Z;38443;BEARING,BALL,ANNULAR;EA;7818,54
452-5052;18560;COVER,ELECTRONIC COMMUNICATION EQUIPMENT;EA;248,35
PT06CP-12-10S;77820;CONNECTOR,PLUG,ELECTRICAL;EA;1055,32
320566;779;TERMINAL,QUICK DISCONNECT, COLOR BLUE, INTERLOCKING KNIFE, 14 AWG,LENGTH 0.878 IN, THICK 0.031 IN;EA;11,92
51016-0077;27914;MICROCIRCUIT;EA;493,07
6838;5464;LAMP,INCANDESCENT;EA;2,81
PC31-2;72794;RETAINER,TURNLOCK FASTENER EJECTOR SPRING;EA;154,85
SSR-4ZRA5P58LY17P;6848;BEARING,BALL,ANNULAR;EA;121,12
816-4;14798;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;221,85
PS-1223;13850;POWER SUPPLY 12V 2.3AH (LEAD ACID P2020);EA;249,06
LM67048;60038;CONE AND ROLLE;EA;70,53
NAS9301BNS-4-03;11815;RIVET,CEGO;EA;1,76
CR3242-5-3;C4293;RIVET,CEGO;EA;227,42
NAS9304BNS-4-02;80205;RIVET BLIND;EA;9,26
MS21044N4;80205;NUT,SELF-LOCKING,HEXAGON;EA;15,36
AN320-12;80205;NUT,PLAIN,SLOTTED,HEXAGON;EA;55,71
T30RHSTR;F3341;STRAP,TIEDOWN,ELECTRICAL COMPONENTS;EA;15,79
C6808-7;78710;CX CONTROLE;EA;4248,39
MVC69370AP150;624;COUPLING,CLAMP,GROOVED;EA;2794,05
AE18916E;624;SLEEVE,COMPRESSION,TUBE-HOSE FITTING;EA;65,74
66422;93835;RING,RETAINING;EA;1266,39
3583-022;66503;AIR BLEED;EA;2666,45
3605631-0506;27914;BUTTON PUSH;EA;261,22
3638-020;66503;SLEEVE;EA;1293,7
3473-044;66503;SEAT;EA;1794,05
3483-020;66503;BUSHING;EA;1059,9
5431407-24;78710;CONTROL ASSEMBLY,PUSH-PULL;EA;2075,55
RS62-5;29780;RETAINING RING;EA;126,35
VSR2SS5G37;5624;BEARING;EA;86,86
S10012-02;27914;CAPACITOR;EA;106,6
TE1309;30242;CAPACITOR;EA;98,87
1301718R;5236;GUIDE;EA;1329,39
1126-00-5;9445;VALVE,CHECK 2.000 INCHES, 0.750 INCHES, WEIGHS 6 OUNCES, ALUMINUM;EA;14352,4
1355-780;66503;PACKING,PREFORMED;EA;106,21
1589-00-3;9445;VALVE,CHECK;EA;14697,14
B5588;7EK50;WRENCH;EA;6317,3
F66018-8;624;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;376,59
1861;90166;LOCKING;EA;213,37
2529604;6848;NUT,PLAIN,HEXAGON;EA;83,63
AS75-85-7/10;F0384;RING,WIPER, U/O NOSE LANDING GEAR, AIRCRAFT C-95;EA;1026,56
AS85-95-7/10;F0384;RING, SCRAPER;EA;108,22
24540-150;624;COUPLING,CLAMP,GROOVED;EA;305,85
J228P022;7482;ANEL-O;EA;48,54
8932-012;66503;PARTS KIT,GOVERNOR;EA;39483,13
8932-030;66503;KIT OVERHAUL;EA;24843,58
8932-073;66503;KIT OVERHAUL;EA;8022,97
NAS1105-8;76823;BOLT SHEAR;EA;5,62
MS27053-4CL;624;ADAPTER,STRAIGHT, TUBE TO HOSE;EA;384,21
816-12D;624;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;349,82
371-0213-110;4V792;CONTACT ASSEMBLY,ELECTRICAL;EA;5,79
900591B1C;624;CLAMP,HOSE;EA;11,78
50ARM-300-205;55635;WIRE,ANTENNA;EA;166,22
211C119-184;2750;CONTACTOR MAN;EA;6361,92
21236;93835;CAP-PORT;EA;31,66
2523940;6848;ADAPTER;EA;2361,09
2525073;6848;SCREW;EA;477,04
2525074;6848;SLEEVE;EA;13060,94
12043-0156;27914;SEMICONDUTOR;EA;16,74
GE4580;8808;LAMP,INCANDESCENT;EA;126,78
383817;6848;SCREW;EA;90,97
317S7;6848;ANEL-O;EA;2,84
328617;64547;SEAL;EA;4,33
B5954-1;45934;ROD END STOP;EA;2814,2
2525107-59D;6848;JET,AIRFLOW;EA;1107,42
901207K1;6848;PIN,COTTER;EA;66,79
3054-729;66503;GASKET;EA;97,02
32105-0002;27914;CONECTOR;EA;394,83
2525107-67D;6848;JET,METERING,FUEL C;EA;694,05
15085;45225;RETAINER,PACKING;EA;74,15
2525107-60D;6848;JET,AIRFLOW;EA;1004,37
2525107-62D;6848;JET,AIRFLOW;EA;2081,1
J221P021;7482;PACKING;EA;1,11
4005373-0001;27914;SWITCH,PUSH;EA;9870,78
51128-0101;27914;INTEGRATED CIR;EA;204,13
4421-033;66503;LEVER ASSY;EA;4924,84
2525107-63D;6848;JET,AIRFLOW;EA;1020,15
0856NB2;59885;PITOT STATIC;EA;48201,01
AN123314;0U583;RIVET,SOLID;EA;10,9
AN3-22A;88044;BOLT,MACHINE;EA;30,36
16102-006;74025;BUS, CONDUCTOR;EA;29,55
NAS6204-18;80205;BOLT,SHEAR;EA;3,45
MS35206-263;96906;SCREW,MACHINE;EA;58,39
MS35206-215;80205;SCREW,MACHINE;EA;33,88
14867;4577;BRACKET,MOUNTING;EA;2002,72
MS9966-06;96906;ANEL-O;EA;6,26
15136;F0189;ANEAU;EA;2324,83
AS29513-113;81343;ANEL-O;EA;1,34
MBS54;K0481;CABLE ASSEMBLY,RADIO FREQUENCY;EA;1758,87
MS9321-09;80205;WASHER,FLAT;EA;28,35
MS51957-46;96906;SCREW, MACHINE;EA;45,22
02FC213;736;SEAT,VALVE,FILTER A;EA;306,96
AN935-616;88044;WASHER,LOCK;EA;0,15
MS27644-5;96906;BEARING,BALL,A;EA;326,6
MS25361-100;96906;CIRCUIT BREAKE;EA;1224,25
HL2277-6-7;73197;RIVET,SOLID;EA;43,55
15099A;F0189;BUSHING;EA;1248,46
2530-070;F0214;PLAQUE ARRIE;EA;2211,06
F123N0017;F1688;ESCOVA;EA;386,93
A1638-5;76275;WASHER,FLAT;EA;1,31
23081-390;3CPE0;STATOR;EA;47221,83
600-052;6324;STRAP,TIEDOWN,ELECTRICAL COMPONENTS;EA;13,21
MS90725-32;96906;BOLT;EA;36,73
DMH21-1;752;ANTENNA COUPLER;EA;936,86
MS20426AD4-16;80205;RIVET,SOLID;EA;93,15
MS20426AD4-10;80205;RIVET;EA;231,45
MS20601AD4W3;96906;REBITE, CEGO;EA;15,79
AEROSHELL FLUID 41;54527;HYDRAULIC FLUID, NONPETROLEUM BASE, AIRCRAFT;EA;302,53
LP10WR;55719;WRENCH,PLIER;EA;90,62
MS28775-229;0XK26;O-RING;EA;4,4
MS24665-28;96906;PIN,COTTER;EA;7,59
MICROB MONITOR 2;0NDT1;TEST KIT, FUEL, WORKS ON FUEL, WATER AND LUBRICANTS;EA;470,46
15185B;F0189;FLANGE;EA;13735,28
56660;93835;INSERT-HELICAL COIL;EA;3377,03
MS141452B;96906;NUT;EA;283,84
NAS1745-15;80205;"SPLICE,CONDUCTOR, COLOR BLUE, LENGTH 0.625 IN (5/8""), HEAT SHRINKABLE SLEEVE";EA;7,67
601/AE701-4;624;HOSE RUBBER;EA;113,12
B240-22A;17472;CALÇO;EA;355,35
A9155-4;17472;CALÇO;EA;195,05
TEEPOL MULTIPURPOSE DETERGENT;F0210;MULTIPURPOSE DETERGENT;EA;7865,04
S24B0-0500-0230;502;CALÇO;EA;7,04
MS20392-1C7;96906;PIN;EA;22,22
MS20668-6;96906;TERMINAL;EA;85,99
02FC07-134;736;STUD,PLAIN;EA;266,67
NAS1149F0832P;80205;WASHER;EA;3,47
MS25089-3CR;96906;SWITCH,PUSH;EA;65,94
9960;C0247;CRADLE, ACCUMULATOR;EA;1024,55
110P2-429-01-03;F0189;RESTRICTING RING;EA;1608,92
911242;6848;WASHER,FLAT;EA;2,11
PE26018-3.8-6.5;6UG63;RIVET;EA;18,21
B3049;24692;RING ROD END;EA;944,91
B3840;24692;SCREW,MACHINE;EA;10,5
MS20995NC32;80205;WIRE,NONELECTRICAL;EA;454,28
110-3012-01-16;S4956;SUPPORT;EA;4634,23
110P2-1244-60-02;FB459;TERMINAL RING;EA;2578,63
658C86-4;73842;NOSE TIRES C-95 / MAIN T-25, 6.50-8, 8PR, FLIGHT CUSTOM III, 160MPH, GOODYEAR CODE: R801125;EA;1475,01
ASTMA580;81346;WIRE,NONELECTRICAL;EA;8,73
APTE-6E-1000-130G;34345;PRESSURE TRANSDUCER OIL MOTOR;EA;9640,94
APTE-6E-1000-50G;34345;PRESSURE TRANSDUCER;EA;10744,42
APTE-553A-2000-75D;34345;TRANSDUCER,PRESSURE;EA;11383,28
