PN,CFF,NOMECLATURA,UN,PRICE UNIT(U$),Retorno da busca,Comparação preço
AN818-10D,88044,"NUT,TUBE COUPLING",EA,"14,06",Há 5 preços para este item. Preço médio: $2.49.,Preço médio do PubLog é 464.66% mais barato.
MS51957-29,96906,"SCREW,MACHINE",EA,"24,64",Há 6 preços para este item. Preço médio: $4.63.,Preço médio do PubLog é 432.18% mais barato.
MS51957-44,96906,"SCREW,MACHINE",EA,"20,83",Há 6 preços para este item. Preço médio: $3.32.,Preço médio do PubLog é 527.41% mais barato.
MS21042L6,80205,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",EA,"3,79",Há 6 preços para este item. Preço médio: $1.18.,Preço médio do PubLog é 221.19% mais barato.
354A,F0704,"CUP,TAPERED ROLLER BEARING",EA,"70,2",Há 5 preços para este item. Preço médio: $8.11.,Preço médio do PubLog é 765.6% mais barato.
M5086/1-20-9,81343,"WIRE,ELECTRICAL, COLOR WHITE, OUTSIDE DIA 0.078 (2 MM) IN, 20 AWG, TEMP RATING 105.0 DEG CELSIUS",EA,"0,71",Há 6 preços para este item. Preço médio: $0.12.,Preço médio do PubLog é 491.67% mais barato.
SL521C,53469,MICROCIRCUITO LINEAR,EA,"461,95",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MCF264,K0481,"CABLE ASSEMBLY,COAXIAL, W6",EA,"18162,24",Part Number/CFF não encontrado.,Não há preço
MCS264,K0481,"CABLE ASSEMBLY,COAXIAL, W5",EA,"6040,92",Part Number/CFF não encontrado.,Não há preço
MS29513-214,96906,"O'RING-FUEL RESISTANT,RUBBER",EA,"1,48",Há 6 preços para este item. Preço médio: $0.28.,Preço médio do PubLog é 428.57% mais barato.
24583,74025,GASKET,EA,"95,94",Há 5 preços para este item. Preço médio: $31.11.,Preço médio do PubLog é 208.39% mais barato.
PE26018-3-8-8-0,S4956,"RIVET,SOLID",EA,"6,3",Part Number/CFF não encontrado.,Não há preço
MS21922-10,30974,"SLEEVE,CLINCH,TUBEFITTING",EA,"30,88",Há 5 preços para este item. Preço médio: $4.79.,Preço médio do PubLog é 544.68% mais barato.
F2-39-2,26433,"ARMATURE,MOTOR",EA,"6102,83",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
AN960-616,U0625,"WASHER,FLAT",EA,"14,77",Há 5 preços para este item. Preço médio: $20.92.,Preço médio do PubLog é 41.64% mais caro.
372550,F1688,GARNITURE ROTATIVE,EA,"10109,36",Part Number/CFF não encontrado.,Não há preço
14-2131,S5496,"BRACKET,STRUCTURALCOMPONENT,AIRCRAFT",EA,"1344,56",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS25083-2BB4,96906,"LEAD,ELECTRICAL, ROUND, DIAMETER 0.081 IN, LENGTH 3.390 IN, TERMINAL MS25036-112 BOTH ENDS",EA,"10,25",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MIL-H-8794-6,81349,"HOSE,NONMETALLIC, ROUND, BLACK, SIZE 6, DIAMETER: INSIDE 0.313(5/""6)IN, OUTSIDE 0.672 IN, MIL-H-8794",EA,"33,56",Part Number/CFF não encontrado.,Não há preço
2525107-61D,7213,"JET,AIRFLOW",EA,"459,82",Part Number/CFF não encontrado.,Não há preço
LM-412-54,76005,"SEAL, U/O IN WALL OF FIRE USED IN UPPER POSITION",EA,"123,82",Part Number/CFF não encontrado.,Não há preço
02W1507-231,736,ELEMENT FILTER,EA,"2068,43",Part Number/CFF não encontrado.,Não há preço
MS9136-01,96906,GASKET,EA,"19,82",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
70123-02,0VTX0,AP BRINDLE CABLE,EA,"5922,47",Part Number/CFF não encontrado.,Não há preço
HL22-77-6-8,73197,PIN-RIVET,EA,"51,47",Há 3 preços para este item. Preço médio: $5.81.,Preço médio do PubLog é 785.89% mais barato.
HL22-5-6,73197,PIN-RIVET,EA,"10,42",Há 5 preços para este item. Preço médio: $1.49.,Preço médio do PubLog é 599.33% mais barato.
4A-0002-10-05,TV765,PINO CÔNICO ROSCADO,EA,"118,13",Part Number/CFF não encontrado.,Não há preço
DS3225-4,96906,"BEARING,ROLLER,TAPERED",EA,"240,96",Há 3 preços para este item. Preço médio: $51.36.,Preço médio do PubLog é 369.16% mais barato.
371-2492-000,95105,"CONNECTOR,PLUG,ELECTRICAL",EA,"304,02",Part Number/CFF não encontrado.,Não há preço
3799089,12204,BUSHING,EA,"6,49",Há 4 preços para este item. Preço médio: $1.51.,Preço médio do PubLog é 329.8% mais barato.
MS21905D5,96906,"TEE,TUBE TO BOSS",EA,"260,16",Há 3 preços para este item. Preço médio: $43.82.,Preço médio do PubLog é 493.7% mais barato.
MS9714-06,96906,"BOLT,MACHINE",EA,"101,63",Há 4 preços para este item. Preço médio: $5.87.,Preço médio do PubLog é 1631.35% mais barato.
AN663C3,88044,"BALL END,WIRE ROPE,SWAGING",EA,"10,62",Há 5 preços para este item. Preço médio: $1.64.,Preço médio do PubLog é 547.56% mais barato.
49F9798-52,92003,"COCK,POPPET DRAIN",EA,"195,46",Part Number/CFF não encontrado.,Não há preço
B240-22,17472,SHIM,EA,"409,82",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
B240-59,72121,SHIM,EA,"292,18",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
2101-0072-001,S4956,GASKET,EA,"560,66",Part Number/CFF não encontrado.,Não há preço
4E1889-2,FA1D6,WIRING HARNESS,EA,"375,88",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
6900163-001,3T949,LEFT SINGLE GLASS,EA,"2800,12",Part Number/CFF não encontrado.,Não há preço
CA33015,8118,COUPLER ASSY,EA,"1268,43",Part Number/CFF não encontrado.,Não há preço
2586258-1,7187,AMPLIFIER,EA,"159506,97",Part Number/CFF não encontrado.,Não há preço
4580,80204,"LAMP,INCANDESCENT",EA,"137,82",Há 6 preços para este item. Preço médio: $13.78.,Preço médio do PubLog é 900.15% mais barato.
MS27224-6,96906,"ELBOW,TUBE TO HOSE",EA,"1061,44",Há 4 preços para este item. Preço médio: $237.25.,Preço médio do PubLog é 347.39% mais barato.
4A-760-21-01,S4956,"SUPPORT,DETEC INCEN",EA,"202,63",Part Number/CFF não encontrado.,Não há preço
742-20-80A,A2142,GASKET,EA,"18,15",Part Number/CFF não encontrado.,Não há preço
PE27017-7,S4956,"CLAMP,LOOP",EA,"85,28",Part Number/CFF não encontrado.,Não há preço
MS21260L6LH,96906,"TERMINAL,WIRE ROPE,STUD",EA,"56,79",Há 5 preços para este item. Preço médio: $12.08.,Preço médio do PubLog é 370.12% mais barato.
AN150539,88044,"STUD,STEPPED",EA,"9,3",Há 3 preços para este item. Preço médio: $14.6.,Preço médio do PubLog é 56.99% mais caro.
42003,58880,CASE AND RING ASSY,EA,"468,19",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
440-3-4,69705,"ADAPTER,STRAIGHT,TUBE TO HOSE",EA,"44,85",Part Number/CFF não encontrado.,Não há preço
MS27381-4C,32142,"ADAPTER,STRAIGHT,TUBE TO HOSE",EA,"320,6",Há 4 preços para este item. Preço médio: $49.22.,Preço médio do PubLog é 551.36% mais barato.
JAN1N3032B,81349,SEMICONDUCTOR,EA,"78,57",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MILH6000-20,A0189,"HOSE,NONMETALLIC, INSIDE DIA 1.125 (1-1/8)IN, OUTSIDE DIA 1.625IN AND 1.750IN, FUEL /OIL RESISTANT",EA,"102,66",Part Number/CFF não encontrado.,Não há preço
AS21908W6,81343,"ELBOW,TUBE",EA,"149,36",Há 6 preços para este item. Preço médio: $23.21.,Preço médio do PubLog é 543.52% mais barato.
MS21250-08018,96906,"BOLT,SHEAR",EA,"149,08",Há 3 preços para este item. Preço médio: $16.59.,Preço médio do PubLog é 798.61% mais barato.
02-2001-20,3CPE0,"INSULATION SLEEVING,ELECTRICAL, MATERIAL PAPER, INSIDE DIAMETER 0.188/195 IN, LENGTH 0.740/0.760 IN,",EA,"35,75",Há 3 preços para este item. Preço médio: $5.8.,Preço médio do PubLog é 516.38% mais barato.
AN669S3RH,88044,"TERMINAL,WIRE ROPE,STUD, RIGHT-HAND, MATERIAL (CRESS), STEEL COMP 303SE AND STEEL COMP 305",EA,"39,92",Há 5 preços para este item. Preço médio: $8.95.,Preço médio do PubLog é 346.03% mais barato.
AN815-12D,88044,"NIPPLE,TUBE",EA,"65,31",Há 4 preços para este item. Preço médio: $9.84.,Preço médio do PubLog é 563.72% mais barato.
AN4-12,88044,"BOLT,MACHINE",EA,"20,14",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS9923-05,81343,BOLT,EA,"51,99",Há 3 preços para este item. Preço médio: $11.69.,Preço médio do PubLog é 344.74% mais barato.
MS9575-05,96906,"BOLT,MACHINE",EA,"33,26",Há 3 preços para este item. Preço médio: $6.24.,Preço médio do PubLog é 433.01% mais barato.
MS27240-2,96906,"SWITCH,SENSITIVE",EA,"1700,38",Há 4 preços para este item. Preço médio: $388.21.,Preço médio do PubLog é 338.01% mais barato.
AN123158,88044,"RIVET,SOLID",EA,"3,55",Há 4 preços para este item. Preço médio: $0.25.,Preço médio do PubLog é 1320.0% mais barato.
00098619N,SFL35,WHEEL MOUSE OPTICAL,EA,"584,35",Part Number/CFF não encontrado.,Não há preço
P/S 860,70898,SEALING COMPOUND CLASS B-1/,EA,"1729,36",Part Number/CFF não encontrado.,Não há preço
CD12,99017,"CAP,PROTECTIVE,DUSTAND MOISTURE SEAL",EA,"0,46",Há 5 preços para este item. Preço médio: $0.07.,Preço médio do PubLog é 557.14% mais barato.
B6553-2,17472,"WASHER,SPRING TENSION",EA,"1041,72",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
ES500-4-20,17472,"SCREW,MACHINE",EA,"237,77",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
SB3945,17472,"FILTER,RADIO FREQUENCY INTERFERENCE",EA,"750,18",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
05-340201,31435,"SCREW,MACHINE",EA,"9,87",Há 4 preços para este item. Preço médio: $2.49.,Preço médio do PubLog é 296.39% mais barato.
00116295N,1651A,KEYBOARD 84 KEYS USB ENGLISH,EA,"8337,05",Part Number/CFF não encontrado.,Não há preço
A12007,72121,WASHER,EA,"113,51",Part Number/CFF não encontrado.,Não há preço
MS21924W10,96906,"ADAPTER,STRAIGHT,TUBE TO BOSS",EA,"140,48",Há 5 preços para este item. Preço médio: $18.66.,Preço médio do PubLog é 652.84% mais barato.
68NA21J048,019L2,"NUT,SELF-LOCKING,PLATE",EA,"371,14",Há 3 preços para este item. Preço médio: $0.12.,Preço médio do PubLog é 309183.33% mais barato.
AN819-4D,88044,"SLEEVE,COUPLING,FLE",EA,"29,06",Há 2 preços para este item. Preço médio: $3.77.,Preço médio do PubLog é 670.82% mais barato.
AN960C10,88044,"WASHER,FLAT",EA,"9,26",Há 6 preços para este item. Preço médio: $6.44.,Preço médio do PubLog é 43.79% mais barato.
15175,F6137,LEVER REMOTE,EA,"3447,39",Part Number/CFF não encontrado.,Não há preço
AN310-6,88044,"NUT,PLAIN,CASTELLATED,HEXAGON",EA,"604,14",Há 6 preços para este item. Preço médio: $94.52.,Preço médio do PubLog é 539.17% mais barato.
AE18927E,69705,SLEEVE,EA,"383,5",Part Number/CFF não encontrado.,Não há preço
M6363/1-1,81349,"LAMP,INCANDESCENT",EA,"120,61",Há 5 preços para este item. Preço médio: $39.82.,Preço médio do PubLog é 202.89% mais barato.
MS25036-106,96906,"TERMINAL,LUG",EA,"50,23",Há 6 preços para este item. Preço médio: $7.7.,Preço médio do PubLog é 552.34% mais barato.
56897,93835,"SCREW,CAP,SOCKET HEAD",EA,"268,13",Há 3 preços para este item. Preço médio: $18.65.,Preço médio do PubLog é 1337.69% mais barato.
MS25089-3C,96906,"SWITCH, PUSH",EA,"45,48",Há 6 preços para este item. Preço médio: $12.31.,Preço médio do PubLog é 269.46% mais barato.
A7632,72914,GASKET,EA,"73,85",Há 3 preços para este item. Preço médio: $3.17.,Preço médio do PubLog é 2229.65% mais barato.
AN960-1216,88044,"WASHER,FLAT",EA,"8,44",Há 6 preços para este item. Preço médio: $0.13.,Preço médio do PubLog é 6392.31% mais barato.
MS24665-132,65029,"PIN,COTTER",EA,"3,86",Há 6 preços para este item. Preço médio: $3.94.,Preço médio do PubLog é 2.07% mais caro.
23032-1901,3CPE0,"HUB,BODY",EA,"307,73",Há 3 preços para este item. Preço médio: $89.41.,Preço médio do PubLog é 244.18% mais barato.
D38999/20KD18PN,81349,"CONNECTOR,RECEPTACLE,ELECTRICAL",EA,"344,74",Há 2 preços para este item. Preço médio: $40.54.,Preço médio do PubLog é 750.37% mais barato.
AN911-1,88044,"NIPPLE,PIPE",EA,"11,27",Há 5 preços para este item. Preço médio: $1.73.,Preço médio do PubLog é 551.45% mais barato.
MS24694S5,96906,"SCREW,MACHINE",EA,"9,26",Há 6 preços para este item. Preço médio: $9.34.,Preço médio do PubLog é 0.86% mais caro.
C1146,88869,"SWITCH,PUSHBUT",EA,"268,49",Part Number/CFF não encontrado.,Não há preço
MS27641-5,96906,"BEARING,BALL,AIRFRAME",EA,"112,21",Há 5 preços para este item. Preço médio: $18.46.,Preço médio do PubLog é 507.85% mais barato.
1308,8108,"LAMP,INCANDESCENT",EA,"1,85",Part Number/CFF não encontrado.,Não há preço
6905,52676,"BEARING,BALL,ANNULAR",EA,"371,93",Há 3 preços para este item. Preço médio: $53.72.,Preço médio do PubLog é 592.35% mais barato.
F6T5/D,58325,"LAMP,FLUORESCE",EA,"563,42",Há 6 preços para este item. Preço médio: $107.84.,Preço médio do PubLog é 422.46% mais barato.
MS14104-16,81343,"BEARING,PLAIN,SELF-ALIGNING",EA,"356,34",Há 5 preços para este item. Preço médio: $44.01.,Preço médio do PubLog é 709.68% mais barato.
A5-30,U1584,"STUD,TURNLOCK FASTENER",EA,"21,4",Há 4 preços para este item. Preço médio: $3.14.,Preço médio do PubLog é 581.53% mais barato.
MS35489-6,96906,"GROMMET,NONMETALLIC",EA,"45,91",Há 6 preços para este item. Preço médio: $4.81.,Preço médio do PubLog é 854.47% mais barato.
MS3470W20-41S,96906,CONNECTOR RECE,EA,"206,18",Há 6 preços para este item. Preço médio: $34.86.,Preço médio do PubLog é 491.45% mais barato.
AN814-4CL,88044,"PLUG,MACHINE THREAD",EA,"395,16",Há 5 preços para este item. Preço médio: $12.34.,Preço médio do PubLog é 3102.27% mais barato.
MS3126P10-6S,96906,"CONNECTOR,PLUG,ELECTRICAL",EA,"156,59",Há 6 preços para este item. Preço médio: $22.83.,Preço médio do PubLog é 585.9% mais barato.
MS24187-D2,96906,"RELAY,ELECTROM",EA,"1397,11",Há 6 preços para este item. Preço médio: $254.06.,Preço médio do PubLog é 449.91% mais barato.
MS51963-9,96906,SCREW,EA,"19,74",Há 6 preços para este item. Preço médio: $2.65.,Preço médio do PubLog é 644.91% mais barato.
MS27059-8,96906,"ELBOW,TUBE TO HOSE",EA,"2146,64",Há 4 preços para este item. Preço médio: $209.13.,Preço médio do PubLog é 926.46% mais barato.
MS9518-15,96906,BOLT,EA,"12,63",Há 4 preços para este item. Preço médio: $1.54.,Preço médio do PubLog é 720.13% mais barato.
AN815-8D,88044,UNION,EA,"22,66",Há 5 preços para este item. Preço médio: $4.79.,Preço médio do PubLog é 373.07% mais barato.
MS35265-40,96906,SCREW,EA,"15,56",Há 5 preços para este item. Preço médio: $26.54.,Preço médio do PubLog é 70.57% mais caro.
MS35275-227,96906,"SCREW,MACHINE",EA,"61,96",Há 6 preços para este item. Preço médio: $8.66.,Preço médio do PubLog é 615.47% mais barato.
MS35333-38,96906,"WASHER,LOCK",EA,"12,16",Há 6 preços para este item. Preço médio: $1.66.,Preço médio do PubLog é 632.53% mais barato.
31710,K1479,"GEAR ASSEMBLY,LIGHT",EA,"5462,65",Há 4 preços para este item. Preço médio: $11231.75.,Preço médio do PubLog é 105.61% mais caro.
MS26574-2A,96906,CKT BREAKER,EA,"158,96",Há 3 preços para este item. Preço médio: $54.17.,Preço médio do PubLog é 193.45% mais barato.
16102-135,74025,"BUS,CONDUCTOR",EA,"492,62",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
23069-1236,31435,TERMINAL BOARD,EA,"7185,77",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS25036-102,96906,"TERMINAL,LUG",EA,"42,29",Há 6 preços para este item. Preço médio: $5.71.,Preço médio do PubLog é 640.63% mais barato.
MS21908-4,96906,ELBOW,EA,"89,15",Há 2 preços para este item. Preço médio: $10.89.,Preço médio do PubLog é 718.64% mais barato.
MS26574-1A,96906,CIRCUIT BREAKER,EA,"164,91",Há 5 preços para este item. Preço médio: $33.38.,Preço médio do PubLog é 394.04% mais barato.
M22759/35-24-9,81343,"WIRE,ELECTRICAL,WHITE,OUTSIDE DIAMETER 0,045POL,TEMP RATING 200,0 DEG CELSIUS",EA,"5,94",Há 5 preços para este item. Preço médio: $0.22.,Preço médio do PubLog é 2600.0% mais barato.
SA13239,17472,"PACKING,PREFORMED",EA,"492,48",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
3116033-01,16359,GASKET,EA,"714,01",Há 4 preços para este item. Preço médio: $129.65.,Preço médio do PubLog é 450.72% mais barato.
HK7C31-1,69370,"CLAMP,QUICK,RELEASE",EA,"47,42",Há 5 preços para este item. Preço médio: $6.93.,Preço médio do PubLog é 584.27% mais barato.
AN939D8,88044,ELBOW BOSS,EA,"40,51",Há 6 preços para este item. Preço médio: $34.82.,Preço médio do PubLog é 16.34% mais barato.
MS28740-5,96906,ADPTER,EA,"97,44",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
A-3478-1,24692,LOW STOP ROD RETAINE,EA,"490,15",Part Number/CFF não encontrado.,Não há preço
C3311-11,72121,BALL SCREW,EA,"4195,12",Part Number/CFF não encontrado.,Não há preço
A9091,20832,SPRING,EA,"568,56",Part Number/CFF não encontrado.,Não há preço
B232M,F0180,FIRE DETECTOR,EA,"4885,96",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS24665-355,80205,CONTRAPINO,EA,"7,59",Há 6 preços para este item. Preço médio: $2.22.,Preço médio do PubLog é 241.89% mais barato.
SA13258-1,17472,BALL BEARING,EA,"118,45",Part Number/CFF não encontrado.,Não há preço
SA13258-3,72121,BALL BEARING,EA,"68,14",Part Number/CFF não encontrado.,Não há preço
17329,AW25$,BUSHING,EA,"1952,84",Part Number/CFF não encontrado.,Não há preço
270188-03,16827,PLUG ASSY,EA,"432,12",Part Number/CFF não encontrado.,Não há preço
S056-0047-00,06WH3,REMOTE MICROPHONE,EA,"18151,82",Part Number/CFF não encontrado.,Não há preço
18499,10237,"SPACER ASSY,PIN AND",EA,"1202,22",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
3A1523,25140,"MOTOR,DIRECT CURRENT",EA,"2722,57",Há 4 preços para este item. Preço médio: $860.69.,Preço médio do PubLog é 216.32% mais barato.
AN123184,88044,"RIVET,SOLID",EA,"21,45",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS20470AD4-5,96906,"RIVET,SOLID",EA,"63,04",Há 6 preços para este item. Preço médio: $18.07.,Preço médio do PubLog é 248.87% mais barato.
AN4-36A,88044,"BOLT,MACHINE",EA,"687,72",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
AN960-8,88044,WASHER FLAT,EA,"1,93",Há 6 preços para este item. Preço médio: $16.59.,Preço médio do PubLog é 759.59% mais caro.
NAS1149CN832R,80205,"WASHER, FLAT",EA,"4,55",Há 6 preços para este item. Preço médio: $1.81.,Preço médio do PubLog é 151.38% mais barato.
15535,F0189,TUYAUTERIE DE FREIN,EA,"6889,52",Part Number/CFF não encontrado.,Não há preço
AN320-5,80205,"NUT,PLAIN,SLOTTED,HEXAGON",EA,"6,56",Há 6 preços para este item. Preço médio: $1.04.,Preço médio do PubLog é 530.77% mais barato.
MS14144L8,80205,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",EA,"75,28",Há 4 preços para este item. Preço médio: $7.59.,Preço médio do PubLog é 891.83% mais barato.
4553,8806,"LAMP,INCANDESCENT, TRANSPARENT, 250 WATTS, 28 VOLTS,",EA,"114,36",Part Number/CFF não encontrado.,Não há preço
AN173-5A,88044,BOLT,EA,"45,37",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
M27267-12,81349,"HOSE,NONMETALLIC, SIZE 12, DIAMETER: INSIDE (5/8"") 0.625 IN, OUTSIDE 0.789 IN, ROUND",EA,"63,02",Há 5 preços para este item. Preço médio: $33.15.,Preço médio do PubLog é 90.11% mais barato.
MS3126F14-19S,96906,"CONNECTOR,PLUG,ELECTRICAL",EA,"255,26",Há 6 preços para este item. Preço médio: $63.67.,Preço médio do PubLog é 300.91% mais barato.
MS16997-33,96906,"SCREW,CAP,SOCKET HEAD",EA,"21,68",Há 6 preços para este item. Preço médio: $11.61.,Preço médio do PubLog é 86.74% mais barato.
A-1372,24692,"BOLT,MACHINE",EA,"135,08",Há 3 preços para este item. Preço médio: $21.53.,Preço médio do PubLog é 527.4% mais barato.
M83519/1-3,81343,"SPLICE,CONDUCTOR, COLOR WHITE, LENGTH 0.625 IN (5/8""), HEAT SHRINKABLE SLEEVE",EA,"44,99",Há 6 preços para este item. Preço médio: $28.32.,Preço médio do PubLog é 58.86% mais barato.
6B 1042081,K0481,KEY TO ADJUST THE MAGNETIC COMPASS,EA,"917,27",Part Number/CFF não encontrado.,Não há preço
A3934,72914,WASHER,EA,"518,57",Há 4 preços para este item. Preço médio: $117.79.,Preço médio do PubLog é 340.25% mais barato.
23032-1910,3CPE0,PLATE DAMPENER,EA,"831,28",Há 4 preços para este item. Preço médio: $139.09.,Preço médio do PubLog é 497.66% mais barato.
MS20392-1C41,96906,"PIN,STRAIGHT,HEADED",EA,"3,09",Há 5 preços para este item. Preço médio: $0.43.,Preço médio do PubLog é 618.6% mais barato.
4587,8108,"LAMP, INCANDESCENT",EA,"54,48",Part Number/CFF não encontrado.,Não há preço
MS35206-218,96906,"SCREW,MACHINE",EA,"116,75",Há 6 preços para este item. Preço médio: $6.32.,Preço médio do PubLog é 1747.31% mais barato.
A2051,24692,"BOLT,MACHINE",EA,"119,91",Há 4 preços para este item. Preço médio: $14.45.,Preço médio do PubLog é 729.83% mais barato.
M5086/2-6-9,81349,"WIRE,ELECTRICAL, OUTSIDE DIA 0.293 IN, TEMP RATING 105.0 DEG, VOLTAGE RATING 600.0 MAXIMUM",EA,"9,55",Há 6 preços para este item. Preço médio: $3.28.,Preço médio do PubLog é 191.16% mais barato.
LM412-33,76005,"COVER U/O PN LM412SA11 AND PN LM-412-SA21, DYNAFOCAL MOUNTING ASSEMBLY",EA,"4051,14",Part Number/CFF não encontrado.,Não há preço
HL22-77-5-6,73197,PIN-COLLAR ASSEMBLY,EA,"260,31",Há 3 preços para este item. Preço médio: $54.06.,Preço médio do PubLog é 381.52% mais barato.
AGF2-6,11583,"IGNITER,SPARK,GAS TURBINE ENGINE",EA,"1788,48",Part Number/CFF não encontrado.,Não há preço
L22258-50-6BCL,F0111,"SCREW,CLOSE TOLERANCE",EA,"16,58",Part Number/CFF não encontrado.,Não há preço
4A-760-21-03,S4956,SUPPOR DETECT INCEN,EA,"984,79",Part Number/CFF não encontrado.,Não há preço
B5194,17472,"CARRIER,ACTUATOR BE",EA,"1558,41",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
PE21059C5-5-8,S4956,SCREW,EA,"35,18",Part Number/CFF não encontrado.,Não há preço
14480,55635,"DISCHARGER,ELECTROSTATIC",EA,"325,11",Há 5 preços para este item. Preço médio: $55.16.,Preço médio do PubLog é 489.39% mais barato.
MS9245-24,96906,"PIN,COTTER",EA,"17,46",Há 5 preços para este item. Preço médio: $2.9.,Preço médio do PubLog é 502.07% mais barato.
A4312,72121,"PIN, STRAIGHT, HEADLESS",EA,"2430,68",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
751992-2,73030,"BEARING,BALL,A",EA,"2370,18",Há 3 preços para este item. Preço médio: $704.54.,Preço médio do PubLog é 236.42% mais barato.
AN5-13A,88044,"BOLT,MACHINE",EA,"2,78",Há 6 preços para este item. Preço médio: $0.46.,Preço médio do PubLog é 504.35% mais barato.
MS21909W5,81343,"TEE,TUBE",EA,"139,17",Há 2 preços para este item. Preço médio: $21.28.,Preço médio do PubLog é 553.99% mais barato.
Q4597,8108,"LAMP, INCANDESCENT",EA,"157,93",Part Number/CFF não encontrado.,Não há preço
23081-1011,3CPE0,"ARMATURE,GENERATOR",EA,"17236,95",Há 3 preços para este item. Preço médio: $2334.87.,Preço médio do PubLog é 638.24% mais barato.
AN4-14A,88044,"BOLT,MACHINE",EA,"32,41",Há 6 preços para este item. Preço médio: $26.54.,Preço médio do PubLog é 22.12% mais barato.
A9044,34623,"BREAKER ASSEMBLY,CIRCUIT",EA,"17166,59",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS20426AD5-6,96906,"RIVET,SOLID",EA,"76,62",Há 6 preços para este item. Preço médio: $13.78.,Preço médio do PubLog é 456.02% mais barato.
05-370176,3CPE0,"WASHER,FLAT",EA,"48,46",Há 4 preços para este item. Preço médio: $6.79.,Preço médio do PubLog é 613.7% mais barato.
MS9574-06,96906,BOLT MACHINE,EA,"18,6",Há 6 preços para este item. Preço médio: $2.27.,Preço médio do PubLog é 719.38% mais barato.
MS16562-38,96906,"PIN,SPRING",EA,"19,45",Há 6 preços para este item. Preço médio: $11.12.,Preço médio do PubLog é 74.91% mais barato.
980688-4,69705,"ELBOW,HOSE",EA,"1585,11",Part Number/CFF não encontrado.,Não há preço
AN4-20A,88044,"BOLT,MACHINE",EA,"228,93",Há 6 preços para este item. Preço médio: $36.5.,Preço médio do PubLog é 527.21% mais barato.
MS24694S55,80205,"SCREW,MACHINE",EA,"9,26",Há 6 preços para este item. Preço médio: $22.06.,Preço médio do PubLog é 138.23% mais caro.
AN310-15,88044,NUT,EA,"49,39",Há 5 preços para este item. Preço médio: $8.43.,Preço médio do PubLog é 485.88% mais barato.
AN315-5R,88044,"NUT,PLAIN,HEXAGON",EA,"1,93",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
23069-1241,93953,COVER ACCESS,EA,"1949,73",Há 2 preços para este item. Preço médio: $276.79.,Preço médio do PubLog é 604.41% mais barato.
MS3367-1-0,96906,"STRAP,TIEDOWN,ELECTRICAL COMPONENTS",EA,"5,86",Há 6 preços para este item. Preço médio: $2.35.,Preço médio do PubLog é 149.36% mais barato.
B5198,72121,COVER,EA,"3124,7",Part Number/CFF não encontrado.,Não há preço
B5958,17472,"TRANSMITTER,POSITION",EA,"58922,42",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
AN3-14A,88044,"BOLT,MACHINE",EA,"1,16",Há 5 preços para este item. Preço médio: $38.19.,Preço médio do PubLog é 3192.24% mais caro.
MS24693-C30,88154,"SCREW,MACHINE",EA,"7,72",Há 6 preços para este item. Preço médio: $2.77.,Preço médio do PubLog é 178.7% mais barato.
907-12803,99866,"TAPE,REFLECTIVE",EA,"5479,86",Há 2 preços para este item. Preço médio: $1488.12.,Preço médio do PubLog é 268.24% mais barato.
